FREQ,Frequency,ISSUER_RES,Issuer residence,ISSUER_NAT,Issuer nationality,ISSUER_BUS_IMM,Issuer sector - immediate borrower,ISSUER_BUS_ULT,Issuer sector - ultimate borrower,MARKET,Issue market,ISSUE_TYPE,Issue type,ISSUE_CUR_GROUP,Issue currency group,ISSUE_CUR,Issue currency,ISSUE_OR_MAT,Original maturity,ISSUE_RE_MAT,Remaining maturity,ISSUE_RATE,Rate type,ISSUE_RISK,Default risk (for future expansion),ISSUE_COL,Collateral type (for future expansion),MEASURE,Measure,DECIMALS,Decimals,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit Multiplier,COLLECTION,Collection Indicator,TIME_FORMAT,Time Format,TIME_PERIOD,OBS_VALUE,OBS_STATUS,Observation Status,OBS_PRE_BREAK,OBS_CONF,Observation confidentiality
Q,Quarterly,CN,China,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2019-Q1,206102,A,Normal value,,F,Free
Q,Quarterly,CN,China,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2019-Q2,208449,A,Normal value,,F,Free
Q,Quarterly,CN,China,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2019-Q3,211041,A,Normal value,,F,Free
Q,Quarterly,CN,China,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2019-Q4,208001,A,Normal value,,F,Free
Q,Quarterly,CN,China,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2020-Q1,212341,A,Normal value,,F,Free
Q,Quarterly,CN,China,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2020-Q2,214738,A,Normal value,,F,Free
Q,Quarterly,CN,China,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2020-Q3,221666,A,Normal value,,F,Free
Q,Quarterly,CN,China,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2020-Q4,237166,A,Normal value,,F,Free
Q,Quarterly,CN,China,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2021-Q1,242234,A,Normal value,,F,Free
Q,Quarterly,CN,China,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2021-Q2,242773,A,Normal value,,F,Free
Q,Quarterly,CN,China,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2021-Q3,246584,A,Normal value,,F,Free
Q,Quarterly,CN,China,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2021-Q4,250207,A,Normal value,,F,Free
Q,Quarterly,CN,China,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2022-Q1,253288,A,Normal value,,F,Free
Q,Quarterly,CN,China,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2022-Q2,254130,A,Normal value,,F,Free
Q,Quarterly,CN,China,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2022-Q3,242622,A,Normal value,,F,Free
Q,Quarterly,CN,China,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2022-Q4,234241,A,Normal value,,F,Free
Q,Quarterly,CN,China,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2023-Q1,234550,A,Normal value,,F,Free
Q,Quarterly,CN,China,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2023-Q2,234447,A,Normal value,,F,Free
Q,Quarterly,CN,China,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2023-Q3,238069,A,Normal value,,F,Free
Q,Quarterly,CN,China,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2023-Q4,230840,A,Normal value,,F,Free
Q,Quarterly,CN,China,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2024-Q1,235595,A,Normal value,,F,Free
Q,Quarterly,CN,China,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2024-Q2,239798,A,Normal value,,F,Free
Q,Quarterly,CN,China,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2024-Q3,252387,A,Normal value,,F,Free
Q,Quarterly,CN,China,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2024-Q4,249082,A,Normal value,,F,Free
Q,Quarterly,CN,China,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2025-Q1,249874,A,Normal value,,F,Free
Q,Quarterly,CN,China,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2025-Q2,247186,A,Normal value,,F,Free
Q,Quarterly,CN,China,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2025-Q3,254030,A,Normal value,,F,Free
Q,Quarterly,CN,China,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2025-Q4,253542,A,Normal value,,F,Free
Q,Quarterly,CN,China,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,0,Zero,USD,US dollar,6,Millions,,,,,2026-Q1,250497,A,Normal value,,F,Free
