country,year,gold_tonnes,total_reserves_usd_bn,reserves_ex_gold_usd_bn,source
CHN,2010,1054.09,2913.712,2866.079,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
CHN,2011,1054.09,3254.674,3202.788,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
CHN,2012,1054.09,3387.513,3331.12,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
CHN,2013,1054.09,3880.368,3839.548,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
CHN,2014,1054.09,3900.039,3859.168,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
CHN,2015,1762.31,3405.253,3345.194,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
CHN,2016,1842.56,3097.658,3029.775,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
CHN,2017,1842.56,3235.682,3158.877,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
CHN,2018,1852.51,3168.216,3091.881,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
CHN,2019,1948.31,3222.895,3127.494,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
CHN,2020,1948.31,3357.241,3238.782,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
CHN,2021,1948.31,3427.931,3313.92,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
CHN,2022,2010.51,3306.839,3189.689,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
CHN,2023,2235.39,3449.544,3301.32,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
CHN,2024,2279.56,3456.025,3264.804,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
CHN,2025,2306.3,3748.745,3424.873,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
IND,2010,557.75,300.48,275.277,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
IND,2011,557.75,298.739,271.285,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
IND,2012,557.75,300.426,270.587,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
IND,2013,557.75,298.092,276.493,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
IND,2014,557.75,325.081,303.455,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
IND,2015,557.75,353.319,334.311,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
IND,2016,557.77,361.694,341.145,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
IND,2017,558.1,412.614,389.35,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
IND,2018,600.44,399.167,374.425,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
IND,2019,634.96,463.47,432.378,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
IND,2020,676.64,590.227,549.087,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
IND,2021,754.1,638.485,594.356,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
IND,2022,787.36,567.298,521.419,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
IND,2023,803.58,627.793,574.509,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
IND,2024,876.18,643.043,569.544,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
IND,2025,880.34,700.074,576.449,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
POL,2010,102.92,93.473,88.822,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
POL,2011,102.92,97.712,92.646,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
POL,2012,102.92,108.902,103.396,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
POL,2013,102.92,106.221,102.236,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
POL,2014,102.93,100.452,96.462,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
POL,2015,102.93,94.903,91.395,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
POL,2016,102.96,114.329,110.535,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
POL,2017,102.97,113.267,108.975,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
POL,2018,128.63,116.957,111.656,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
POL,2019,228.65,128.392,117.196,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
POL,2020,228.66,154.219,140.316,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
POL,2021,230.84,166.03,152.522,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
POL,2022,228.67,166.664,153.34,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
POL,2023,358.69,193.783,169.999,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
POL,2024,448.23,223.115,185.515,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
POL,2025,550.21,271.805,194.539,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
RUS,2010,788.62,479.222,443.586,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
RUS,2011,882.96,497.41,453.948,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
RUS,2012,957.76,537.816,486.577,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
RUS,2013,1035.21,509.692,469.603,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
RUS,2014,1208.19,386.216,339.37,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
RUS,2015,1414.54,368.043,319.835,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
RUS,2016,1615.22,377.052,317.544,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
RUS,2017,1838.76,432.731,356.084,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
RUS,2018,2113.03,468.645,381.575,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
RUS,2019,2271.16,555.179,443.97,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
RUS,2020,2298.53,596.77,457.018,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
RUS,2021,2301.64,632.242,497.554,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
RUS,2022,2332.74,581.71,445.784,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
RUS,2023,2332.74,597.217,442.537,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
RUS,2024,2332.74,608.361,412.678,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
RUS,2025,2326.52,,,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4"
SAU,2010,322.9,459.313,444.722,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
SAU,2011,322.9,556.571,540.677,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
SAU,2012,322.9,673.74,656.464,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
SAU,2013,322.9,737.796,725.292,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
SAU,2014,322.9,744.441,731.92,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
SAU,2015,322.9,626.99,615.985,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
SAU,2016,323.07,547.267,535.364,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
SAU,2017,323.07,509.457,495.99,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
SAU,2018,323.07,509.469,496.156,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
SAU,2019,323.07,514.963,499.143,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
SAU,2020,323.07,472.851,453.208,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
SAU,2021,323.07,473.89,454.984,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
SAU,2022,323.07,478.232,459.407,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
SAU,2023,323.07,457.949,436.527,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
SAU,2024,323.07,463.87,436.769,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
SAU,2025,323.07,505.164,459.796,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
TUR,2010,116.1,85.959,80.713,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
TUR,2011,116.1,87.937,78.322,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
TUR,2012,116.04,119.183,99.943,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
TUR,2013,116.1,131.054,110.927,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
TUR,2014,116.11,127.422,106.906,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
TUR,2015,116.1,110.49,92.921,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
TUR,2016,116.09,104.811,90.919,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
TUR,2017,202.03,107.657,84.115,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
TUR,2018,253.47,92.997,72.867,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
TUR,2019,379.03,105.62,78.532,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
TUR,2020,394.64,93.585,50.031,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
TUR,2021,394.24,111.185,72.697,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
TUR,2022,541.77,128.735,82.888,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
TUR,2023,540.19,140.868,92.703,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
TUR,2024,587.6,155.549,90.859,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
TUR,2025,614.3,185.568,71.621,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4; World Bank API FI.RES.TOTL.CD / FI.RES.XGLD.CD"
USA,2010,8133.46,,,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4"
USA,2011,8133.46,,,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4"
USA,2012,8133.46,,,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4"
USA,2013,8133.46,,,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4"
USA,2014,8133.46,,,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4"
USA,2015,8133.46,,,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4"
USA,2016,8133.46,,,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4"
USA,2017,8133.46,,,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4"
USA,2018,8133.46,,,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4"
USA,2019,8133.46,,,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4"
USA,2020,8133.46,,,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4"
USA,2021,8133.47,,,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4"
USA,2022,8133.46,,,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4"
USA,2023,8133.46,,,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4"
USA,2024,8133.46,,,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4"
USA,2025,8133.46,,,"WGC CBD v11 API (republishes IMF IFS), gold_reserves_tns Q4"
