,LT,Equities,Treasury,Agcy NonABS,Agcy ABS,Corp NonABS,Corp ABS
Afghanistan,*,*,*,0.00,0.00,*,0.00
Albania,1287.50,*,1253.40,*,0.00,*,*
Algeria,*,*,*,0.00,0.00,*,0.00
Andorra,4034.15,2269.98,759.44,*,0.00,1004.67,0.00
Angola,1799.44,559.76,1178.21,0.00,*,*,0.00
Anguilla,1304.23,916.08,*,*,*,*,*
Antigua and Barbuda,578.19,*,*,*,0.00,*,*
Argentina,16892.58,11180.29,3408.98,*,*,2275.52,*
Armenia,817.67,*,713.08,0.00,0.00,*,0.00
Aruba,2018.86,*,647.29,*,*,*,*
Australia ,793922.45,693572.47,53104.33,*,6711.84,35249.23,5188.53
Austria,44830.94,37274.89,4987.95,*,*,2559.41,*
Azerbaijan,18961.15,10185.48,8299.54,*,*,*,0.00
Bahamas,53276.06,34243.69,7972.22,*,738.62,9770.48,*
Bahrain,1180.56,1113.34,*,*,*,*,*
Bangladesh,4180.55,*,4159.08,*,0.00,*,0.00
Barbados,21201.01,3052.04,1529.02,*,2275.85,6606.62,7422.98
Belarus,*,*,0.00,0.00,0.00,*,0.00
Belgium,1099949.58,134915.49,349114.35,2671.50,13111.60,589952.42,10184.22
Belize,1513.09,819.95,*,*,*,*,*
Benin,*,*,0.00,0.00,0.00,0.00,0.00
Bermuda,422612.22,150127.67,52729.21,1862.99,28631.42,160871.22,28389.72
Bhutan,*,*,*,*,0.00,*,0.00
Bolivia,1064.18,*,*,*,*,*,*
"Bonaire, Sint Eustatius and Saba",*,*,0.00,0.00,0.00,*,0.00
Bosnia and Herzegovina,*,*,0.00,0.00,0.00,*,0.00
Botswana,2098.21,1725.24,*,0.00,*,*,*
Brazil,238755.66,25076.71,211365.51,*,*,2103.63,*
British Indian Ocean Territory,*,*,0.00,0.00,0.00,*,0.00
British Virgin Islands,331166.36,190229.77,55856.21,*,44699.88,38711.23,1379.98
Brunei,3539.78,2660.37,605.29,*,0.00,*,*
Bulgaria,1338.28,946.88,*,0.00,*,*,0.00
Burkina Faso,*,*,0.00,0.00,0.00,0.00,0.00
Burma,*,*,0.00,0.00,0.00,0.00,0.00
Burundi,*,*,0.00,0.00,0.00,*,0.00
Cambodia,7769.72,*,6585.48,*,840.21,*,0.00
Cameroon,*,*,0.00,0.00,0.00,*,0.00
Canada,2860242.75,2065248.41,405427.17,789.49,158995.42,198790.61,30991.65
Cape Verde,*,*,*,0.00,0.00,*,0.00
Cayman Islands,3021833.72,2160062.62,286251.02,3512.57,52911.55,451096.23,67999.73
Central African Republic,*,*,0.00,0.00,0.00,0.00,0.00
Chad,*,*,0.00,0.00,0.00,0.00,0.00
Chile,91502.88,49262.31,36552.32,*,1070.62,4499.28,*
"China, Mainland",1203517.97,344470.38,656510.55,*,185948.83,13040.48,3460.35
Colombia,88878.19,38145.74,39292.16,*,534.88,10483.86,*
Comoros,*,*,*,0.00,0.00,0.00,0.00
Congo (Brazzaville),*,*,0.00,0.00,0.00,0.00,0.00
Congo (Kinshasa),*,*,*,0.00,*,0.00,0.00
Cook Islands,*,*,*,0.00,0.00,*,0.00
Costa Rica,10493.17,6003.05,2699.84,*,*,1747.54,*
Cote d`Ivoire,1648.21,1648.17,*,0.00,0.00,*,0.00
Croatia,2574.99,1342.46,1215.89,*,0.00,*,0.00
Cuba,*,*,0.00,0.00,0.00,0.00,0.00
Curacao,6011.99,2837.50,1609.26,*,*,1513.12,*
Cyprus,11293.34,9980.82,*,*,*,891.17,*
Czech Republic,48237.53,17321.73,28911.09,*,1886.29,*,0.00
Denmark,299527.51,269273.35,8765.53,*,*,21184.18,*
Djibouti,*,*,0.00,0.00,0.00,0.00,0.00
Dominica,*,*,*,*,0.00,*,0.00
Dominican Republic,7704.27,*,6632.56,*,*,*,*
East Timor,13987.37,3578.80,10408.57,0.00,0.00,0.00,0.00
Ecuador,1818.43,868.24,*,*,*,553.09,*
Egypt,770.60,556.68,*,*,*,*,*
El Salvador,2404.06,1218.57,866.00,*,*,*,*
Equatorial Guinea,*,*,*,0.00,0.00,0.00,0.00
Eritrea,*,*,0.00,0.00,0.00,*,0.00
Estonia,3005.06,2309.95,666.58,0.00,0.00,*,0.00
Ethiopia,*,*,0.00,0.00,0.00,*,0.00
Falkland Islands,*,*,0.00,0.00,0.00,0.00,0.00
Faroe Islands,*,*,0.00,0.00,0.00,0.00,0.00
Federated States of Micronesia,*,*,*,*,*,*,*
Fiji,*,*,*,0.00,0.00,*,0.00
Finland,96731.37,82683.44,9082.72,*,*,4958.61,*
France,1061521.19,601215.45,353742.06,*,36465.17,61526.00,8157.82
French Guiana,*,*,*,0.00,0.00,*,0.00
French Polynesia,*,*,*,0.00,*,*,*
Gabon,*,*,*,0.00,0.00,*,0.00
Gambia,*,*,0.00,0.00,0.00,0.00,0.00
Georgia,*,*,*,*,*,*,0.00
Germany,777480.32,572072.71,77025.83,*,4642.15,120042.61,3587.08
Ghana,1751.18,*,1462.39,*,*,*,0.00
Gibraltar,1507.94,883.32,*,*,*,599.27,*
Greece,5188.55,2723.41,2142.51,*,*,*,*
Greenland,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Grenada,672.56,*,*,*,*,*,0.00
Guadeloupe,*,*,0.00,0.00,0.00,0.00,0.00
Guatemala,18430.60,803.11,13236.49,1229.33,1923.89,1226.44,*
Guernsey,101692.94,81266.79,7747.99,*,*,12249.20,*
Guinea,*,*,0.00,0.00,0.00,0.00,0.00
Guinea-Bissau,*,*,0.00,0.00,0.00,0.00,0.00
Guyana,*,*,*,*,*,*,*
Haiti,1967.91,*,605.77,*,*,828.89,*
Holy See (Vatican),*,*,*,0.00,0.00,*,0.00
Honduras,4044.05,*,3601.58,*,*,*,*
Hong Kong,556132.06,263097.17,190469.13,*,11028.61,87655.28,3405.36
Hungary,5005.43,1418.41,796.90,*,2673.40,*,0.00
Iceland,2541.60,2199.44,*,*,0.00,*,0.00
India,240762.69,28731.35,211119.77,*,*,740.48,*
Indonesia,39290.37,1424.08,26801.77,*,8763.81,2167.93,*
Iran,*,*,0.00,0.00,0.00,0.00,0.00
Iraq,10749.05,*,10747.50,0.00,0.00,0.00,0.00
Ireland,2018112.10,1469029.47,219785.48,1095.93,32495.02,260272.10,35434.10
Isle of Man,8982.44,6936.33,1252.88,*,*,778.05,*
Israel,287683.45,182522.47,75418.04,1330.66,3886.07,24052.40,*
Italy,180234.13,99330.69,55102.35,*,604.83,25089.89,*
Jamaica,2319.07,*,1153.70,*,*,559.20,*
Japan,2758026.84,1168725.47,1023936.97,649.29,249673.87,300361.31,14679.93
Jersey,37349.43,27494.57,5012.07,*,*,4019.93,*
Jordan,2841.20,*,2675.47,*,0.00,*,*
Kazakhstan,6606.24,*,3086.27,*,0.00,3024.89,*
Kenya,5197.17,*,5025.82,*,0.00,*,0.00
Kiribati,*,*,0.00,0.00,0.00,0.00,0.00
"Korea, South",796314.94,591937.69,119546.43,1797.23,32596.64,48245.21,2191.74
Kosovo,*,*,*,0.00,0.00,*,0.00
Kuwait,483803.16,377218.88,57125.71,*,5420.78,40202.22,3663.96
Kyrgyzstan,*,*,0.00,0.00,0.00,0.00,0.00
Laos,*,*,0.00,0.00,0.00,*,0.00
Latvia,2812.39,1371.56,*,*,883.69,*,*
Lebanon,*,*,*,0.00,*,*,0.00
Lesotho,*,*,*,*,0.00,0.00,0.00
Liberia,1688.99,1212.92,*,*,*,*,0.00
Libya,1417.59,*,1406.83,0.00,0.00,0.00,0.00
Liechtenstein,37671.04,36071.77,*,*,*,1331.65,*
Lithuania,2727.72,*,2035.72,0.00,*,*,0.00
Luxembourg,2480888.57,1356936.02,308148.03,2395.18,74314.67,717149.85,21944.82
Macau,12705.35,3565.92,5984.55,*,1102.57,1710.21,*
Macedonia,*,*,0.00,0.00,0.00,0.00,0.00
Madagascar,1620.15,*,1594.67,*,0.00,*,0.00
Malawi,*,*,*,*,0.00,*,0.00
Malaysia,90761.80,54089.21,15259.83,*,18737.89,2252.14,*
Maldives,*,*,*,0.00,0.00,0.00,0.00
Mali,*,*,0.00,0.00,0.00,0.00,0.00
Malta,5510.59,3600.75,*,0.00,*,1591.73,0.00
Marshall Islands,3266.88,2143.27,*,*,*,771.81,*
Martinique,*,*,0.00,0.00,0.00,*,0.00
Mauritania,*,*,*,*,0.00,*,*
Mauritius,3213.87,846.04,1638.74,*,0.00,717.54,*
Mayotte,*,*,0.00,0.00,0.00,0.00,0.00
Mexico,215715.12,121845.23,75933.29,*,6408.48,11235.59,*
Moldova,1755.51,*,1741.82,0.00,0.00,0.00,0.00
Monaco,5065.92,4079.73,679.96,*,*,*,*
Mongolia,*,*,*,*,0.00,0.00,0.00
Montenegro,*,*,0.00,0.00,0.00,*,0.00
Montserrat,*,*,*,*,0.00,*,0.00
Morocco,4128.69,*,3543.48,0.00,*,*,0.00
Mozambique,556.55,*,535.78,*,0.00,*,0.00
Namibia,819.38,609.92,*,*,*,*,*
Nauru,*,*,0.00,0.00,0.00,0.00,0.00
Nepal,4487.85,*,4477.60,*,0.00,*,0.00
Netherlands,640511.94,461202.52,79457.67,*,18166.23,80134.50,1411.26
Netherlands Antilles,*,*,*,NA,NA,NA,NA
New Caledonia,1388.13,1316.12,0.00,0.00,0.00,*,0.00
New Zealand,77131.06,59235.13,13140.97,*,955.90,3508.74,*
Nicaragua,*,*,*,*,*,*,*
Niger,*,*,0.00,0.00,0.00,0.00,0.00
Nigeria,8031.06,*,7148.97,*,*,*,*
Niue,*,*,0.00,0.00,0.00,0.00,0.00
Norway,1108723.91,826128.59,194803.91,*,*,87167.00,*
Oman,18957.61,10672.97,7731.75,*,*,*,*
Pakistan,*,*,*,0.00,*,*,0.00
Palau,*,*,*,*,*,*,*
Panama,40916.72,23201.74,4182.24,*,1579.91,11345.50,*
Papua New Guinea,*,*,*,0.00,0.00,0.00,0.00
Paraguay,7467.41,*,6954.03,*,0.00,*,*
Peru,54183.45,10872.52,39327.85,519.53,*,3218.98,*
Philippines,59322.43,3453.98,54408.67,*,587.25,788.83,*
Pitcairn Island,*,*,0.00,0.00,0.00,0.00,0.00
Poland,62595.74,4876.03,57644.40,*,*,*,*
Portugal,15343.63,12820.77,1401.30,*,*,1114.83,*
Qatar,81526.41,57854.11,22922.97,0.00,*,560.22,*
Reunion,*,*,0.00,0.00,0.00,0.00,0.00
Romania,11402.73,937.72,10058.27,0.00,0.00,*,0.00
Russia,2388.31,2293.37,*,*,0.00,*,0.00
Rwanda,1016.87,*,962.16,*,*,*,0.00
Saint Helena,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Saint Kitts and Nevis,11111.30,6902.56,1231.96,*,*,2823.12,*
Saint Lucia,1391.31,*,*,*,0.00,*,*
Saint Martin and Saint Barthelemy,*,*,*,0.00,0.00,*,0.00
Saint Pierre and Miquelon,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Saint Vincent and the Grenadines,*,*,*,*,0.00,*,*
Samoa,1650.64,1316.19,*,*,*,*,0.00
San Marino,*,*,*,0.00,0.00,*,0.00
Sao Tome and Principe,*,*,*,0.00,0.00,0.00,0.00
Saudi Arabia,333866.13,215298.60,103362.46,*,3995.70,10345.11,808.97
Senegal,676.78,645.33,*,0.00,0.00,*,0.00
Serbia,2303.54,*,2260.12,0.00,0.00,*,*
Seychelles,1076.04,702.16,*,*,*,*,*
Sierra Leone,*,*,0.00,0.00,0.00,*,0.00
Singapore,1104251.56,758798.58,239435.36,*,16201.32,71432.55,18075.91
Sint Maarten,*,*,*,0.00,*,*,0.00
Slovakia,783.34,*,603.43,0.00,0.00,*,0.00
Slovenia,5879.45,4924.45,*,*,0.00,727.81,0.00
Solomon Islands,*,0.00,*,0.00,0.00,0.00,0.00
Somalia,*,*,0.00,0.00,0.00,0.00,0.00
South Africa,40170.97,28129.56,9542.56,*,625.58,1818.08,*
South Sudan,*,*,0.00,0.00,0.00,0.00,0.00
Spain,148940.32,74808.26,59351.71,*,7247.65,5940.67,1554.40
Sri Lanka,*,*,*,0.00,0.00,*,0.00
Sudan,*,*,0.00,0.00,0.00,0.00,0.00
Suriname,*,*,*,*,*,*,*
Eswatini,*,*,*,*,0.00,*,0.00
Sweden,453635.31,396013.45,47910.93,*,*,9578.83,*
Switzerland,1314967.05,938993.25,239277.06,593.87,7693.67,125049.08,3360.13
Syria,*,*,0.00,0.00,0.00,0.00,0.00
Taiwan,848804.37,172177.76,303791.20,707.55,183836.91,186219.94,2071.01
Tajikistan,*,*,*,*,0.00,*,0.00
Tanzania,1848.16,*,1825.78,*,0.00,*,0.00
Thailand,105416.06,30316.68,61437.17,*,10785.84,2851.78,*
Togo,*,*,0.00,0.00,0.00,0.00,0.00
Tokelau,*,*,0.00,0.00,0.00,0.00,0.00
Tonga,*,*,0.00,0.00,0.00,0.00,0.00
Trinidad and Tobago,13318.53,5890.16,2702.62,*,713.36,3355.00,594.95
Tunisia,*,*,*,*,0.00,*,0.00
Turkey,6969.73,1291.97,5525.63,*,*,*,*
Turkmenistan,*,*,0.00,0.00,0.00,0.00,0.00
Turks and Caicos Isl.,2179.85,1641.46,*,*,*,*,*
Tuvalu,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Uganda,1053.76,*,825.38,*,*,*,*
Ukraine,13120.33,*,12951.75,*,0.00,*,0.00
United Arab Emirates,274549.40,231324.79,37667.74,*,849.75,4176.71,*
United Kingdom,3370661.80,2057155.48,768284.29,3161.72,53247.96,462369.79,26442.56
Uruguay,20503.81,4771.96,12653.76,*,500.03,2542.66,*
Uzbekistan,*,*,*,*,0.00,0.00,0.00
Vanuatu,*,*,*,0.00,0.00,*,0.00
Venezuela,5282.60,3355.14,*,*,*,1514.73,*
Vietnam,29947.05,*,29835.30,*,*,*,0.00
Wallis and Futuna,0.00,0.00,0.00,0.00,0.00,0.00,0.00
West Bank and Gaza,*,*,0.00,0.00,0.00,0.00,0.00
Western Sahara,*,*,0.00,0.00,0.00,0.00,0.00
Yemen,*,*,0.00,0.00,0.00,0.00,0.00
Zambia,*,*,*,*,0.00,*,0.00
Zimbabwe,*,*,*,0.00,0.00,*,0.00
Int. and reg. org.,128636.41,19562.08,63179.68,4984.57,10092.62,23221.33,7596.13
Country Unknown,116793.29,*,*,0.00,0.00,116787.67,0.00
Total Africa,82007.76,37557.85,38702.86,*,1333.97,3935.70,*
Total Asia,9376047.20,4504004.63,3283554.46,6313.26,734603.78,797785.19,49785.87
Total Caribbean,3901576.47,2558341.15,420787.05,7081.83,130575.92,678522.06,106268.51
Total Europe,15533940.35,9618111.19,2933867.13,11159.78,254857.23,2602054.74,113890.21
Euro area countries,8604319.52,4929045.51,1524950.29,6885.56,188285.18,1872350.19,82802.74
Total Latin America,821154.15,298458.60,451871.73,2950.58,12437.98,54323.96,1111.28
Total Oceania,879116.98,758524.95,67264.07,*,7715.40,40008.59,5469.45
Total,33699515.36,19859814.44,7664654.19,33740.14,1310612.32,4515429.85,315264.41
Holdings of FOI,6502370.69,2229694.67,3499698.34,6639.46,517185.17,227113.35,22039.71

