data_month,securities_usd_bn,dep_cb_bis_imf_usd_bn,dep_banks_hq_in_usd_bn,dep_banks_hq_out_usd_bn,other_reserve_assets_usd_bn,imf_position_usd_bn,sdr_usd_bn,gold_usd_bn,total_official_reserve_assets_usd_bn,channel,source_file
2015-06,3681.778,1.074,1.207,9.779,0.0,4.567,10.545,62.397,3771.347,SAFE-EN,build/reserve/rdtd_evidence/raw_132_a482680ce63d40a595641136b7f0bb32.xls
2015-07,3630.798367,1.064874,8.978229,10.468417,0.068241,4.372849,10.459752,59.23752,3725.448248,SAFE-EN,build/reserve/rdtd_evidence/raw_131_0857b8c8ba2548b5927f81bfe760da39.xls
2015-08,3535.29932,1.058015,8.115405,12.90826,-0.248,4.727,10.529,61.795,3634.184,SAFE-EN,build/reserve/rdtd_evidence/raw_130_64f8ec9df97b48b39e0858ef2a69d61e.xls
2015-09,3489.96808,1.071422,2.270327,20.810507,-0.195756,4.688538,10.467895,61.189133,3590.270145,SAFE-EN,build/reserve/rdtd_evidence/raw_129_129b15506e3a46f989a79911506769db.xls
2015-10,3502.467098,2.567379,3.969521,16.502785,0.262541,4.637911,10.361022,63.260509,3604.028765,SAFE-EN,build/reserve/rdtd_evidence/raw_128_6231dfc71b93429daad90d079b4fddfc.xls
2015-11,3424.925,1.075,4.753,7.53,0.396,4.596,10.179,59.522,3512.978,SAFE-EN,build/reserve/rdtd_evidence/raw_127_19c64813ac3948b983d73027304f2677.xls
2015-12,3311.735,1.064,4.316,13.246,0.727,4.547,10.284,60.191,3406.111,SAFE-EN,build/reserve/rdtd_evidence/raw_126_c3e65ce736494c3b94570b33bb4018d6.xls
2016-01,3200.827,4.558,9.091,16.416,-0.205,3.76,10.273,63.57,3308.291,SAFE-EN,build/reserve/rdtd_evidence/raw_125_471cb046d71d45ce9c52231bb1d17e65.xls
2016-02,3177.412,1.069,7.943,15.896,-0.33,10.725,10.28,71.006,3294.002,SAFE-EN,build/reserve/rdtd_evidence/raw_124_e120e2c998e847e9a9b73f82026ca2c1.xls
2016-03,3185.061,1.065,7.294,19.159,0.172,10.724,10.485,71.485,3305.445,SAFE-EN,build/reserve/rdtd_evidence/raw_123_40734819ff954f20b8250e155799bc56.xls
2016-04,3202.818,2.566,7.23,7.054,0.516,10.651,10.548,74.751,3316.135,SAFE-EN,build/reserve/rdtd_evidence/raw_122_831039aa964c4874bc00e6a4c81dc0fb.xls
2016-05,3178.625,1.061,7.024,5.026,0.571,10.422,10.441,70.475,3283.643,SAFE-EN,build/reserve/rdtd_evidence/raw_121_faabbd1919e84ef892dd7440026e8b66.xls
2016-06,3183.677,1.057,6.109,14.32,-0.273,10.443,10.413,77.429,3303.172,SAFE-EN,build/reserve/rdtd_evidence/raw_120_1d4204815d0046bfabdf40396eb2edcd.xls
2016-07,3183.879,1.261,7.287,8.629,-0.22,10.039,10.095,78.89,3299.86,SAFE-EN,build/reserve/rdtd_evidence/raw_119_d344da6662924d739bcc8f6b46f9343a.xls
2016-08,3161.898,1.072,5.891,16.305,-0.614,9.949,10.097,77.175,3281.775,SAFE-EN,build/reserve/rdtd_evidence/raw_118_0fdafff468334202ad84563c2cced30e.xls
2016-09,3154.236,1.058,3.676,7.412,-0.469,9.895,10.108,78.169,3264.085,SAFE-EN,build/reserve/rdtd_evidence/raw_117_a3ea633e3b6d41f1b9e1b4b308795150.xls
2016-10,3109.087,1.062,1.94,8.567,0.373,9.963,9.949,75.348,3216.287,SAFE-EN,build/reserve/rdtd_evidence/raw_116_df39497f328549c6b5529ad852eeceaf.xls
2016-11,3031.604,1.069,5.985,12.941,0.085,9.817,9.802,69.785,3141.088,SAFE-EN,build/reserve/rdtd_evidence/raw_115_2f19d1c2fe2e458b8145b6688b0da686.xls
2016-12,2980.484,2.343,5.344,22.346,0.191,9.597,9.661,67.878,3097.845,SAFE-EN,build/reserve/rdtd_evidence/raw_114_c6fd923c6f104b80b638b3feeb677d6f.xls
2017-01,2979.88,1.102,6.718,10.504,0.595,9.7,9.767,71.292,3089.558,SAFE-EN,build/reserve/rdtd_evidence/raw_113_3c249db076d946feac20ad913b30a3ed.xls
2017-02,2989.678,0.69,5.678,9.078,0.623,9.665,9.741,74.376,3099.529,SAFE-EN,build/reserve/rdtd_evidence/raw_112_04135e319f9146ea8920afb92d2157a1.xls
2017-03,2999.311,1.052,2.568,6.157,0.55,9.625,9.762,73.739,3102.764,SAFE-EN,build/reserve/rdtd_evidence/raw_111_05efd10ebb614a1ca993e98b727caaa0.xls
2017-04,3018.499,1.054,2.574,7.407,0.462,9.694,9.864,75.019,3124.573,SAFE-EN,build/reserve/rdtd_evidence/raw_110_7900d74255be475d8f4bda61cfbfabed.xls
2017-05,3041.687,1.066,2.944,7.87,0.075,9.788,9.966,75.004,3148.401,SAFE-EN,build/reserve/rdtd_evidence/raw_109_6255a338af714541b45c4eddaf499e32.xls
2017-06,3044.976,1.067,3.375,7.37,0.503,9.479,10.027,73.585,3150.384,SAFE-EN,build/reserve/rdtd_evidence/raw_108_74d1ef195c1d444ca85ffd19c49c067d.xls
2017-07,3068.499,1.063,2.594,8.564,0.448,8.842,10.149,75.084,3175.244,SAFE-EN,build/reserve/rdtd_evidence/raw_107_7242662a60b946d0942b75089a30210a.xls
2017-08,3069.295,1.065,7.727,13.44,-0.01,9.091,10.207,77.702,3188.517,SAFE-EN,build/reserve/rdtd_evidence/raw_106_037a91df76d84575b3ce78a2e9911302.xls
2017-09,3095.133,2.063,0.631,10.683,0.567,9.091,10.207,76.005,3204.381,SAFE-EN,build/reserve/rdtd_evidence/raw_105_edd2068318fb411e950e558ffc19edfb.xls
2017-10,3091.531,1.086,5.605,10.991,0.543,8.844,10.148,75.238,3203.986,SAFE-EN,build/reserve/rdtd_evidence/raw_104_6d04b06d05db4c4db5b43017f087ed11.xls
2017-11,3104.731,1.071,2.728,10.747,0.649,8.497,10.232,75.833,3214.49,SAFE-EN,build/reserve/rdtd_evidence/raw_103_f4fc16633e4a42349b44ae20ea4a6106.xls
2017-12,3124.378,1.715,1.716,12.139,0.545,7.947,10.981,76.473,3235.895,SAFE-EN,build/reserve/rdtd_evidence/raw_102_15bdd2d5729b4b29914fd59f8fcadbbb.xls
2018-01,3147.753,1.066,3.902,8.736,0.512,7.784,11.251,79.675,3260.679,SAFE-EN,build/reserve/rdtd_evidence/raw_090_a3ba005c23c54c83aeea7b74bac48cfb.xls
2018-02,3113.029,1.066,5.008,15.378,0.533,7.702,11.141,78.064,3231.921,SAFE-EN,build/reserve/rdtd_evidence/raw_091_7c9339abec0444d8811cf2e45d3894ba.xls
2018-03,3119.783,1.068,4.529,17.44,0.14,7.744,11.219,78.419,3240.343,SAFE-EN,build/reserve/rdtd_evidence/raw_092_fa9b6fd50bb647a6a8e982d8a5c7e4c1.xls
2018-04,3114.306,1.059,4.007,5.48,0.204,7.64,11.091,77.788,3221.574,SAFE-EN,build/reserve/rdtd_evidence/raw_093_d090ef39393542d0a3ca901df69e5ee1.xlsx
2018-05,3094.801,1.063,4.716,10.044,0.509,7.48,10.88,77.323,3206.816,SAFE-EN,build/reserve/rdtd_evidence/raw_094_1a93c9e5eafd474cb7ebc9d12001dd76.xls
2018-06,3089.361,2.071,6.136,14.561,0.535,8.527,10.861,74.071,3206.123,SAFE-EN,build/reserve/rdtd_evidence/raw_095_2155947ecb984f5a9275bc728877b9c8.xls
2018-07,3099.235,1.057,5.351,12.303,0.441,8.471,10.863,72.324,3210.045,SAFE-EN,build/reserve/rdtd_evidence/raw_096_0b644682f17843278de94c7bb8193ad8.xls
2018-08,3093.725,1.065,7.373,7.552,0.272,8.549,10.86,71.228,3200.624,SAFE-EN,build/reserve/rdtd_evidence/raw_097_db4363334133499483a02f354b53c16d.xls
2018-09,3067.385,1.362,1.227,17.051,0.41,8.512,10.813,70.327,3177.087,SAFE-EN,build/reserve/rdtd_evidence/raw_098_46d8f3c82d074185aea5259ab158ec79.xls
2018-10,3035.598,4.062,3.122,10.316,0.492,8.826,10.564,71.968,3144.948,SAFE-EN,build/reserve/rdtd_evidence/raw_099_f5c29b19a4d04e77a4850fcff43456f7.xls
2018-11,3039.359,1.065,5.792,15.481,-0.11,8.74,10.608,72.122,3153.057,SAFE-EN,build/reserve/rdtd_evidence/raw_100_c9d6a3e9f7954041b4d2987eb6b60f1a.xls
2018-12,3052.906,1.064,5.229,13.513,-0.22,8.479,10.69,76.331,3167.993,SAFE-EN,build/reserve/rdtd_evidence/raw_101_9745ebf4663e4412863bfe1404da26b5.xls
2019-01,3073.714,1.068,4.591,8.551,-0.163,8.485,10.786,79.319,3186.352,SAFE-EN,build/reserve/rdtd_evidence/raw_078_5ce1bbcac4344949a8681a9e611f1b3f.xls
2019-02,3080.438,1.062,3.251,5.429,-0.154,8.468,10.794,79.498,3188.786,SAFE-EN,build/reserve/rdtd_evidence/raw_079_cd10bc0d11304e7384ade51a7f22e7bd.xls
2019-03,3077.83,5.06,2.833,13.038,-0.299,8.409,10.722,78.525,3196.118,SAFE-EN,build/reserve/rdtd_evidence/raw_080_41d372650a03437ea0cbe0a1b41f8385.xls
2019-04,3083.961,1.065,1.448,8.479,0.105,8.346,10.708,78.349,3192.461,SAFE-EN,build/reserve/rdtd_evidence/raw_081_1e66d8b07af049a6a272f0f65ebc3e2f.xls
2019-05,3081.471,1.06,1.455,17.018,0.016,8.283,10.683,79.825,3199.81,SAFE-EN,build/reserve/rdtd_evidence/raw_082_a88cf80a8ddf4846926af1f7b95c9278.xls
2019-06,3100.91,5.262,1.103,11.959,-0.311,8.233,10.811,87.268,3225.235,SAFE-EN,build/reserve/rdtd_evidence/raw_083_441cc177cc7744b89368fc48166ade42.xls
2019-07,3095.154,1.061,1.002,6.479,-0.465,8.539,10.85,88.876,3211.497,SAFE-EN,build/reserve/rdtd_evidence/raw_084_7b92d186717544638975513db1d9867a.xls
2019-08,3081.547,5.074,2.623,17.932,-0.395,8.446,10.822,95.45,3221.499,SAFE-EN,build/reserve/rdtd_evidence/raw_085_d8a444185e0e40b39a469cc6429b09ec.xls
2019-09,3075.848,1.062,4.114,11.406,-0.225,8.415,10.785,93.045,3204.451,SAFE-EN,build/reserve/rdtd_evidence/raw_086_0b7f59fc33d34ef09fca4c6b99f04ff9.xls
2019-10,3100.714,1.06,1.014,2.374,-0.109,8.505,10.916,94.651,3219.125,SAFE-EN,build/reserve/rdtd_evidence/raw_087_5fe9f95118e64b37a321b311fd273160.xls
2019-11,3085.05,7.068,0.912,2.561,-0.161,8.465,10.899,91.469,3206.263,SAFE-EN,build/reserve/rdtd_evidence/raw_088_e4880b73f6fc45bc8006eeeba02b3ae0.xls
2019-12,3097.86,1.075,2.974,6.016,0.033,8.444,11.126,95.406,3222.932,SAFE-EN,build/reserve/rdtd_evidence/raw_089_da0e202fb93242e6b6b2335c728e8929.xls
2020-01,3097.932,1.062,7.257,9.246,0.011,8.375,11.096,99.24,3234.22,SAFE-EN,build/reserve/rdtd_evidence/raw_065_e6e999dc69ad41c59ecd95e826fe6e04.xls
2020-02,3085.794,1.063,3.765,16.096,-0.1,8.12,11.087,100.847,3226.673,SAFE-EN,build/reserve/rdtd_evidence/raw_066_9ad7492108dd4ff4832f6374add4bdeb.xls
2020-03,3049.415,1.074,6.665,3.479,-0.238,8.07,11.019,100.79,3180.274,SAFE-EN,build/reserve/rdtd_evidence/raw_067_7545aaec81c040d1af6c332faaac511f.xls
2020-04,3086.778,1.061,2.532,1.087,-0.034,9.036,10.812,106.666,3217.939,SAFE-EN,build/reserve/rdtd_evidence/raw_068_71f20f38fcb842a19818c05f2bda7759.xls
2020-05,3089.166,2.362,4.761,5.402,-0.051,9.073,10.875,108.292,3229.881,SAFE-EN,build/reserve/rdtd_evidence/raw_069_03f555bb165246cb8ed1bf1c2af4a429.xls
2020-06,3098.886,1.067,5.604,6.771,-0.326,9.61,10.954,110.76,3243.325,SAFE-EN,build/reserve/rdtd_evidence/raw_070_ee95d51709164dfb9b91c7067fe3773f.xls
2020-07,3147.299,1.068,1.059,4.965,-0.396,9.871,11.268,123.088,3298.223,SAFE-EN,build/reserve/rdtd_evidence/raw_071_051496eeb42048acbe8e6e8f8ef2728e.xls
2020-08,3159.015,1.067,0.93,3.597,-0.413,9.814,11.318,122.615,3307.943,SAFE-EN,build/reserve/rdtd_evidence/raw_072_4506a57704a04dc5989653c14d54263b.xls
2020-09,3135.215,1.069,0.908,5.37,-0.399,9.677,11.167,118.202,3281.208,SAFE-EN,build/reserve/rdtd_evidence/raw_073_d289db2763db4cad90211a8e8d0ab51b.xls
2020-10,3124.69182,1.470163,0.939457,0.88056,-0.491,9.704,11.205,117.886,3266.286,SAFE-EN,build/reserve/rdtd_evidence/raw_075_64d062bdd85f4b6f94bc8a9d5555d46b.xls
2020-11,3175.513003,1.066465,0.941222,0.969309,-0.472,9.831,11.365,110.412,3309.627,SAFE-EN,build/reserve/rdtd_evidence/raw_076_105d4119e07d4fcea30ce1252392f9c9.xls
2020-12,3212.389,1.065,2.057,1.011,-0.499,10.765,11.495,118.246,3356.529,SAFE-EN,build/reserve/rdtd_evidence/raw_077_3a18fa495ba34723a5720c5a46bf2c7b.xls
2021-01,3207.058,2.075,1.001,0.537,-0.399,10.769,11.509,116.755,3349.305,SAFE-EN,build/reserve/rdtd_evidence/raw_053_e2b84048bd444401b511f9961a9992ee.xls
2021-02,3202.427,1.671,0.468,0.428,-0.407,10.752,11.5,109.178,3336.018,SAFE-EN,build/reserve/rdtd_evidence/raw_054_730bf0b1a56d45cb89503eab462d619c.xls
2021-03,3167.06,1.069,0.684,1.216,-0.473,10.273,11.333,105.933,3297.095,SAFE-EN,build/reserve/rdtd_evidence/raw_055_1986b5733a644f27be39b0147786aa62.xls
2021-04,3195.451,1.075,0.875,0.78,-0.339,10.409,11.423,110.732,3330.405,SAFE-EN,build/reserve/rdtd_evidence/raw_056_d828b931a30f414b982462d876c0d466.xls
2021-05,3215.788,3.577,1.023,1.415,-0.327,10.472,11.504,119.02,3362.471,SAFE-EN,build/reserve/rdtd_evidence/raw_057_0ebd7b01c05d437d9983cbb89080d11f.xls
2021-06,3210.037,1.084,2.352,0.537,-0.277,10.304,11.41,110.45,3345.897,SAFE-EN,build/reserve/rdtd_evidence/raw_058_287780645e4c4770aebb0dedfa944b28.xls
2021-07,3231.922,1.786,1.077,1.105,-0.421,10.321,11.446,114.372,3371.608,SAFE-EN,build/reserve/rdtd_evidence/raw_059_383ed15d0bb541c797fd36d75d4f9b13.xls
2021-08,3229.262,1.069,0.892,0.893,-0.265,10.282,52.914,113.689,3408.736,SAFE-EN,build/reserve/rdtd_evidence/raw_060_ff47ebef78f6403ba6465823eabc7bda.xls
2021-09,3197.734,1.12,0.971,0.801,-0.223,10.1,53.338,109.175,3373.016,SAFE-EN,build/reserve/rdtd_evidence/raw_061_a076cb88045f4f0bae1c21fef6b761b0.xls
2021-10,3214.613,1.376,0.93,0.695,-0.333,10.526,53.596,110.826,3392.229,SAFE-EN,build/reserve/rdtd_evidence/raw_062_4347f272e97a44cc9a354c8f69949700.xls
2021-11,3219.67,1.068,0.946,0.701,-0.247,10.698,53.056,113.034,3398.927,SAFE-EN,build/reserve/rdtd_evidence/raw_063_d5df3fd1c75d48b186e29803fc2c2f1a.xls
2021-12,3234.315,1.07,13.813,0.968,-0.137,10.689,53.065,113.125,3426.908,SAFE-EN,build/reserve/rdtd_evidence/raw_064_bd517a936e854778a24282ea303bf40a.xls
2022-01,3210.676,1.07,9.222,0.664,0.01,10.629,53.509,112.461,3398.241,SAFE-EN,build/reserve/rdtd_evidence/raw_041_98cb2e003edd4c7180b78d73535fd024.xls
2022-02,3211.205,1.071,0.889,0.661,-0.351,10.647,53.631,119.64,3397.393,SAFE-EN,build/reserve/rdtd_evidence/raw_042_d7ccdc80e1834c7d86c618ea8c66df86.xls
2022-03,3185.597,1.066,0.618,0.713,-0.13,10.471,53.16,121.663,3373.159,SAFE-EN,build/reserve/rdtd_evidence/raw_043_46b9722f75aa481f99f16f9e00dab78c.xls
2022-04,3116.451,1.063,1.377,0.829,-0.574,10.048,52.271,119.731,3301.196,SAFE-EN,build/reserve/rdtd_evidence/raw_044_ce8c34c6efce45ba8dc9b541e124290b.xls
2022-05,3123.436,1.063,1.337,1.944,-0.169,10.126,52.498,115.183,3305.419,SAFE-EN,build/reserve/rdtd_evidence/raw_045_492e05d1406f4d068e206cd314a6b717.xls
2022-06,3068.442,1.062,1.263,0.505,-0.417,9.962,51.954,113.823,3246.595,SAFE-EN,build/reserve/rdtd_evidence/raw_046_93101c2ffb754a95b34f1664041b5c1d.xls
2022-07,3101.142,1.274,0.959,0.695,-0.343,10.112,51.811,109.839,3275.49,SAFE-EN,build/reserve/rdtd_evidence/raw_047_3f6dc2cc03924feb9388cb1e3a5b321e.xls
2022-08,3052.175,1.061,0.726,0.919,-0.071,10.169,51.293,107.49,3223.762,SAFE-EN,build/reserve/rdtd_evidence/raw_048_77dbacd5187140d9a8cf1c9e34a26238.xls
2022-09,3025.825,1.058,0.834,1.238,-0.511,9.956,50.454,104.724,3193.579,SAFE-EN,build/reserve/rdtd_evidence/raw_049_cbcb9a6ebbc64f25bc61624063955597.xls
2022-10,3049.048,1.059,0.987,1.332,-0.476,10.451,50.34,102.673,3215.416,SAFE-EN,build/reserve/rdtd_evidence/raw_050_dc88ca265ffd4aac9039204e19ed3b53.xls
2022-11,3112.975,1.063,1.447,2.003,-0.427,10.708,50.513,111.65,3289.932,SAFE-EN,build/reserve/rdtd_evidence/raw_051_a4f0927c3aad41c889323095a55b6e07.xls
2022-12,3121.919,1.062,3.336,1.374,-0.395,10.839,51.159,117.235,3306.53,SAFE-EN,build/reserve/rdtd_evidence/raw_052_15eb7e0e7e3145a7bd38a86b01c7b88a.xls
2023-01,3180.097,1.064,1.448,1.853,-0.204,10.982,51.971,125.283,3372.494,SAFE-EN,build/reserve/rdtd_evidence/raw_017_d1de7110319448c4a19ade427f55b8ab.xls
2023-02,3128.828,1.064,1.34,1.922,0.032,10.822,51.622,120.283,3315.912,SAFE-EN,build/reserve/rdtd_evidence/raw_030_1bb70b1058f74d8090eaa27dc845f2fb.xls
2023-03,3181.065,1.064,0.632,1.111,0.092,10.915,52.469,131.653,3379.002,SAFE-EN,build/reserve/rdtd_evidence/raw_031_d023ff561cb54e1ab0d5a863fd64d661.xls
2023-04,3200.473,1.064,1.409,1.82,0.188,10.932,52.542,132.353,3400.78,SAFE-EN,build/reserve/rdtd_evidence/raw_032_e73e25f1a7d14cb4ad680c3ac4a16afc.xls
2023-05,3171.454,1.062,2.71,1.282,0.418,10.773,51.972,132.152,3371.823,SAFE-EN,build/reserve/rdtd_evidence/raw_033_564508eb39b24c4da6485eba63e1504c.xls
2023-06,3188.72,1.057,0.975,2.245,0.105,9.701,52.114,129.934,3384.853,SAFE-EN,build/reserve/rdtd_evidence/raw_034_88a8c4b856504bd787a7c594fdfcbed8.xls
2023-07,3199.782,1.063,0.841,2.584,0.101,8.121,52.873,135.36,3400.725,SAFE-EN,build/reserve/rdtd_evidence/raw_035_546b660f748a4e94b0b6bc28c147b34c.xls
2023-08,3146.666,2.564,8.444,2.425,-0.066,9.697,52.928,135.224,3357.881,SAFE-EN,build/reserve/rdtd_evidence/raw_036_2c23e6d5bcd4403db75d5ff98e8edce5.xls
2023-09,3109.045,1.058,2.287,2.68,-0.322,9.588,52.34,131.788,3308.465,SAFE-EN,build/reserve/rdtd_evidence/raw_037_f3061d21cc614946b720b09ce99b06d1.xls
2023-10,3094.428,1.061,3.219,2.516,-0.221,9.582,52.314,142.171,3305.07,SAFE-EN,build/reserve/rdtd_evidence/raw_038_6d2d0d1d02bc4d3dba77e3d1286f627b.xls
2023-11,3163.001,1.062,4.896,2.847,-0.019,9.686,53.235,145.701,3380.41,SAFE-EN,build/reserve/rdtd_evidence/raw_039_9c2e1dadae0e4755b9aeab0aab1ee921.xls
2023-12,3226.13,1.273,7.799,2.776,0.145,9.747,53.596,148.226,3449.691,SAFE-EN,build/reserve/rdtd_evidence/raw_023_93ef9bc1b12440cc8102d253885c9da8.xls
2024-01,3213.791,1.063,2.287,2.18,0.336,9.889,53.296,148.229,3431.07,SAFE-EN,build/reserve/rdtd_evidence/raw_018_c4744f6ea6ec4028849e2bbcfd7ff07e.xls
2024-02,3218.098,1.06,4.137,2.522,-0.194,9.872,53.369,148.644,3437.507,SAFE-EN,build/reserve/rdtd_evidence/raw_019_42d2d3580f984e3789e297dfcaba28fa.xls
2024-03,3237.101,1.064,4.993,2.499,-0.337,9.845,53.203,161.069,3469.438,SAFE-EN,build/reserve/rdtd_evidence/raw_020_9ffda997dbc444ba8e4d377c3eb51ae4.xls
2024-04,3192.43,1.06,4.785,2.555,-0.734,9.769,53.07,167.957,3430.894,SAFE-EN,build/reserve/rdtd_evidence/raw_021_3d79f28eafc0440cbe4a9d4ddf6aa2ab.xls
2024-05,3223.795,1.061,4.463,2.719,-0.895,9.811,53.473,170.96,3465.389,SAFE-EN,build/reserve/rdtd_evidence/raw_022_9ca6e6c5d2014b84a8aae3fce367138f.xls
2024-06,3213.424,1.058,4.999,2.877,-1.116,9.75,53.164,169.697,3453.853,SAFE-EN,build/reserve/rdtd_evidence/raw_023_319dfdbee8374693b72c3596526f5a41.xls
2024-07,3247.301,1.06,5.137,2.874,-1.174,9.847,53.649,176.642,3495.336,SAFE-EN,build/reserve/rdtd_evidence/raw_024_67cb8e0042a34877ad8dc1f581f44b87.xls
2024-08,3280.349,2.06,2.874,2.932,-0.902,9.982,54.722,182.98,3534.997,SAFE-EN,build/reserve/rdtd_evidence/raw_025_1c7c0bb4caca4fe7b263379d46c70979.xls
2024-09,3307.844,1.061,4.895,2.568,-1.046,10.149,54.864,191.469,3571.803,SAFE-EN,build/reserve/rdtd_evidence/raw_026_a31025cdbf294c7eb028a56348b3e25e.xls
2024-10,3231.072,1.061,26.032,2.884,-1.398,9.964,53.86,199.055,3522.531,SAFE-EN,build/reserve/rdtd_evidence/raw_027_22f68da803304162b6ab5c511571dbc8.xls
2024-11,3227.643,7.06,28.265,2.892,-0.785,9.832,53.303,193.431,3521.641,SAFE-EN,build/reserve/rdtd_evidence/raw_028_d3fb2de49fff473d977e63448a6d8552.xls
2024-12,3171.048,1.062,26.896,3.351,-0.582,9.758,52.688,191.337,3455.558,SAFE-EN,build/reserve/rdtd_evidence/raw_029_35a0b54d0dc94066a309ff4a57b8772f.xls
2025-01,3173.907,1.062,31.353,2.714,-0.323,10.048,52.712,206.534,3478.007,SAFE-EN,build/reserve/rdtd_evidence/raw_005_00b41f4c4f6943b28009004bf96f1a35.xls
2025-02,3183.312,6.438,34.628,2.846,-0.473,10.087,53.077,208.643,3498.558,SAFE-EN,build/reserve/rdtd_evidence/raw_006_070a1b6f0882442b910611da95c712fe.xls
2025-03,3226.265,1.061,11.279,2.059,-0.36,10.112,53.882,229.594,3533.893,SAFE-EN,build/reserve/rdtd_evidence/raw_007_4242931b4a3847cc89fda86af5f96be0.xls
2025-04,3240.619,4.064,34.898,2.081,-0.157,11.186,55.051,243.585,3591.327,SAFE-EN,build/reserve/rdtd_evidence/raw_008_a621d5aa125d4ea698193adfef55ec2f.xls
2025-05,3266.678,1.065,15.371,2.142,-0.3,11.303,55.218,241.988,3593.464,SAFE-EN,build/reserve/rdtd_evidence/raw_009_f43fd7d470ef48d9bdf6192b85185787.xls
2025-06,3306.019,1.063,9.229,1.111,-0.488,11.286,55.93,242.931,3627.081,SAFE-EN,build/reserve/rdtd_evidence/raw_010_4532650aacfe4e27b676766af177409e.xls
2025-07,3281.453,1.06,7.554,2.167,-0.347,10.928,55.269,243.985,3602.07,SAFE-EN,build/reserve/rdtd_evidence/raw_011_bab9ed03305d46b69c4f83ba89709bd4.xls
2025-08,3312.889,1.061,7.097,1.107,-0.201,11.34,56.013,253.843,3643.149,SAFE-EN,build/reserve/rdtd_evidence/raw_012_657dde72004d44159bfc4c34ba27b438.xls
2025-09,3328.932,1.064,7.829,0.833,-0.353,11.229,56.114,283.291,3688.939,SAFE-EN,build/reserve/rdtd_evidence/raw_013_cd991fc975934bf4a86094f4c46499c5.xls
2025-10,3331.611,1.062,8.38,2.289,-0.328,11.058,55.562,297.209,3706.844,SAFE-EN,build/reserve/rdtd_evidence/raw_014_6cf6eeb5ac7c486dacde268cba691ee7.xls
2025-11,3330.333,1.06,4.839,10.14,-0.143,11.059,55.716,310.647,3723.651,SAFE-EN,build/reserve/rdtd_evidence/raw_015_7d36d5ca54804baa823f4dc7a985e634.xls
2025-12,3337.173,1.059,16.322,3.315,-0.015,11.179,55.824,319.45,3744.307,SAFE-EN,build/reserve/rdtd_evidence/raw_016_a5540a1f76f949598c0063b4b82d18c4.xls
2026-01,3382.064,1.054,5.41,10.55,0.189,11.198,56.234,369.582,3836.281,SAFE-EN,build/reserve/rdtd_evidence/raw_000_6798bb2d92a547dc972c00310d54bc6d.xls
2026-02,3414.619,1.055,5.733,6.4,0.065,11.14,56.093,387.588,3882.693,SAFE-EN,build/reserve/rdtd_evidence/raw_001_76e3ef44824d4bcb8b411deb099575d2.xls
2026-03,3327.071,1.054,6.35,7.648,-0.009,10.903,55.343,342.763,3751.123,SAFE-EN,build/reserve/rdtd_evidence/raw_002_9283a8f5e83c4e5bbd28f643877822cf.xls
2026-04,3393.245,1.053,6.405,9.844,0.027,10.938,56.033,344.172,3821.717,SAFE-EN,build/reserve/rdtd_evidence/raw_003_e10c1e39552b4207a9f8e847fb038879.xls
2026-05,3433.15,1.055,0.796,7.237,0.377,11.185,56.034,340.752,3850.586,SAFE-EN,build/reserve/rdtd_evidence/raw_004_8f67a8316b9e4b10a4d489601dc8bb04.xls
